timestamp,sensor_type,sensor_name,value,accuracy
1620715799972.00,-1,INDOOR,1,
1620715799973.00,-1,MONITORING,1,
1620715800017.00,5,TMD3725 Light,6,
1620715800121.00,8,TMD3725 Proximity,8,
1620715800373.00,-1,DETECTED_ACTIVITY,3,
1620715801017.00,5,TMD3725 Light,6,
1620715801170.00,-1,GPS_SATELLITES,0,
1620715801172.00,-1,GPS_FIX_SATELLITES,0,
1620715802026.00,5,TMD3725 Light,5,
1620715803026.00,5,TMD3725 Light,5,
1620715804037.00,5,TMD3725 Light,5,
1620715805037.00,5,TMD3725 Light,6,
1620715805168.00,-1,GPS_SATELLITES,1,
1620715806037.00,5,TMD3725 Light,5,
1620715807038.00,5,TMD3725 Light,5,
1620715808047.00,5,TMD3725 Light,6,
1620715809047.00,5,TMD3725 Light,6,
1620715810047.00,5,TMD3725 Light,6,
1620715810649.00,-1,GPS_SATELLITES,2,
1620715811056.00,5,TMD3725 Light,6,
1620715812057.00,5,TMD3725 Light,5,
1620715812660.00,-1,GPS_SATELLITES,5,
1620715813067.00,5,TMD3725 Light,5,
1620715813662.00,-1,GPS_SATELLITES,7,
1620715814067.00,5,TMD3725 Light,6,
1620715814653.00,-1,GPS_SATELLITES,8,
1620715815077.00,5,TMD3725 Light,8,
1620715815657.00,-1,GPS_SATELLITES,10,
1620715815664.00,-1,GPS_FIX_SATELLITES,5,
1620715816087.00,5,TMD3725 Light,6,
1620715816658.00,-1,GPS_SATELLITES,12,
1620715817087.00,5,TMD3725 Light,6,
1620715818097.00,5,TMD3725 Light,6,
1620715819097.00,5,TMD3725 Light,8,
1620715819151.00,-1,GPS_SATELLITES,10,
1620715820098.00,5,TMD3725 Light,6,
1620715820155.00,-1,GPS_SATELLITES,9,
1620715820232.00,-1,GPS_FIX,1,
1620715821107.00,5,TMD3725 Light,6,
1620715822107.00,5,TMD3725 Light,6,
1620715823107.00,5,TMD3725 Light,6,
1620715824107.00,5,TMD3725 Light,8,
1620715825117.00,5,TMD3725 Light,6,
1620715826127.00,5,TMD3725 Light,6,
1620715827127.00,5,TMD3725 Light,8,
1620715828137.00,5,TMD3725 Light,6,
1620715829147.00,5,TMD3725 Light,6,
1620715830147.00,5,TMD3725 Light,6,
1620715831147.00,5,TMD3725 Light,6,
1620715832157.00,5,TMD3725 Light,6,
1620715833167.00,5,TMD3725 Light,6,
1620715834167.00,5,TMD3725 Light,9,
1620715835177.00,5,TMD3725 Light,6,
1620715836178.00,5,TMD3725 Light,6,
1620715837178.00,5,TMD3725 Light,6,
1620715838178.00,5,TMD3725 Light,6,
1620715839187.00,5,TMD3725 Light,5,
1620715840187.00,5,TMD3725 Light,5,
1620715841187.00,5,TMD3725 Light,6,
1620715842198.00,5,TMD3725 Light,8,
1620715843207.00,5,TMD3725 Light,8,
1620715844207.00,5,TMD3725 Light,5,
1620715845217.00,5,TMD3725 Light,5,
1620715846217.00,5,TMD3725 Light,5,
1620715847227.00,5,TMD3725 Light,5,
1620715848227.00,5,TMD3725 Light,8,
1620715849237.00,5,TMD3725 Light,6,
