timestamp,sensor_type,sensor_name,value,accuracy
1620723880333,-1,INDOOR,1.0,
1620723880364,-1,MONITORING,1.0,
1620723873432,5,TMD3725_Light Ambient Light Sensor Non-wakeup,15.0,3
1620723873265,8,TMD3725_Proximity Proximity Sensor Wakeup,5.0,3
1620723882262,-1,GPS_SATELLITES,17.0,
1620723882263,-1,GPS_FIX_SATELLITES,0.0,
1620723888570,5,TMD3725_Light Ambient Light Sensor Non-wakeup,16.0,3
1620723891845,-1,DETECTED_ACTIVITY,3.0,
1620723892201,8,TMD3725_Proximity Proximity Sensor Wakeup,5.0,3
1620723897160,5,TMD3725_Light Ambient Light Sensor Non-wakeup,12.0,3
1620723898270,5,TMD3725_Light Ambient Light Sensor Non-wakeup,9.0,3
1620723903531,5,TMD3725_Light Ambient Light Sensor Non-wakeup,16.0,3
1620723904267,-1,GPS_SATELLITES,16.0,
1620723922011,-1,DETECTED_ACTIVITY,3.0,
1620723940412,-1,WIFI_ACCESS_POINTS,9.0,
1620723940415,-1,BLUETOOTH_DEVICES,1.0,
1620723952210,-1,DETECTED_ACTIVITY,3.0,
1620723981262,-1,GPS_SATELLITES,15.0,
1620723982265,-1,GPS_SATELLITES,16.0,
1620723982392,-1,DETECTED_ACTIVITY,3.0,
1620724000437,-1,WIFI_ACCESS_POINTS,6.0,
1620724012589,-1,DETECTED_ACTIVITY,3.0,
1620724018898,5,TMD3725_Light Ambient Light Sensor Non-wakeup,14.0,3
1620724019951,5,TMD3725_Light Ambient Light Sensor Non-wakeup,18.0,3
1620724025211,5,TMD3725_Light Ambient Light Sensor Non-wakeup,14.0,3
1620724026262,5,TMD3725_Light Ambient Light Sensor Non-wakeup,11.0,3
1620724042760,-1,DETECTED_ACTIVITY,3.0,
1620724060465,-1,WIFI_ACCESS_POINTS,7.0,
1620724072955,-1,DETECTED_ACTIVITY,3.0,
1620724103147,-1,DETECTED_ACTIVITY,3.0,
1620724120491,-1,WIFI_ACCESS_POINTS,5.0,
1620724133347,-1,DETECTED_ACTIVITY,3.0,
1620724163530,-1,DETECTED_ACTIVITY,3.0,
1620724180527,-1,WIFI_ACCESS_POINTS,6.0,
1620724184749,5,TMD3725_Light Ambient Light Sensor Non-wakeup,21.0,3
1620724185918,5,TMD3725_Light Ambient Light Sensor Non-wakeup,7.0,3
1620724188197,5,TMD3725_Light Ambient Light Sensor Non-wakeup,8.0,3
1620724189599,5,TMD3725_Light Ambient Light Sensor Non-wakeup,7.0,3
1620724192287,5,TMD3725_Light Ambient Light Sensor Non-wakeup,4.0,3
1620724193709,-1,DETECTED_ACTIVITY,3.0,
1620724203332,5,TMD3725_Light Ambient Light Sensor Non-wakeup,8.0,3
1620724204969,5,TMD3725_Light Ambient Light Sensor Non-wakeup,7.0,3
1620724208265,-1,GPS_SATELLITES,35.0,
1620724210578,5,TMD3725_Light Ambient Light Sensor Non-wakeup,8.0,3
1620724220630,5,TMD3725_Light Ambient Light Sensor Non-wakeup,7.0,3
1620724225189,5,TMD3725_Light Ambient Light Sensor Non-wakeup,5.0,3
1620724226298,5,TMD3725_Light Ambient Light Sensor Non-wakeup,5.0,3
1620724226446,-1,DETECTED_ACTIVITY,3.0,
1620724230214,5,TMD3725_Light Ambient Light Sensor Non-wakeup,8.0,3
1620724231384,5,TMD3725_Light Ambient Light Sensor Non-wakeup,8.0,3
1620724232610,5,TMD3725_Light Ambient Light Sensor Non-wakeup,7.0,3
1620724234188,5,TMD3725_Light Ambient Light Sensor Non-wakeup,7.0,3
1620724235883,5,TMD3725_Light Ambient Light Sensor Non-wakeup,8.0,3
1620724237051,5,TMD3725_Light Ambient Light Sensor Non-wakeup,5.0,3
1620724240559,-1,WIFI_ACCESS_POINTS,8.0,
1620724240558,5,TMD3725_Light Ambient Light Sensor Non-wakeup,7.0,3
1620724242369,5,TMD3725_Light Ambient Light Sensor Non-wakeup,5.0,3
1620724243655,5,TMD3725_Light Ambient Light Sensor Non-wakeup,7.0,3
1620724245467,5,TMD3725_Light Ambient Light Sensor Non-wakeup,8.0,3
1620724246812,5,TMD3725_Light Ambient Light Sensor Non-wakeup,7.0,3
1620724248214,5,TMD3725_Light Ambient Light Sensor Non-wakeup,8.0,3
1620724248365,-1,GPS_SATELLITES,34.0,
1620724249266,5,TMD3725_Light Ambient Light Sensor Non-wakeup,8.0,3
1620724249363,-1,GPS_SATELLITES,35.0,
1620724250844,5,TMD3725_Light Ambient Light Sensor Non-wakeup,5.0,3
1620724251027,8,TMD3725_Proximity Proximity Sensor Wakeup,0.0,3
1620724251895,5,TMD3725_Light Ambient Light Sensor Non-wakeup,8.0,3
1620724256278,5,TMD3725_Light Ambient Light Sensor Non-wakeup,5.0,3
1620724256666,-1,DETECTED_ACTIVITY,3.0,
1620724257564,5,TMD3725_Light Ambient Light Sensor Non-wakeup,5.0,3
1620724261888,5,TMD3725_Light Ambient Light Sensor Non-wakeup,7.0,3
1620724262998,5,TMD3725_Light Ambient Light Sensor Non-wakeup,8.0,3
1620724265335,5,TMD3725_Light Ambient Light Sensor Non-wakeup,7.0,3
1620724266621,5,TMD3725_Light Ambient Light Sensor Non-wakeup,8.0,3
1620724267907,5,TMD3725_Light Ambient Light Sensor Non-wakeup,8.0,3
1620724269718,5,TMD3725_Light Ambient Light Sensor Non-wakeup,5.0,3
1620724270363,-1,GPS_SATELLITES,34.0,
1620724271379,-1,GPS_SATELLITES,35.0,
1620724279595,5,TMD3725_Light Ambient Light Sensor Non-wakeup,4.0,3
1620724283159,5,TMD3725_Light Ambient Light Sensor Non-wakeup,5.0,3
1620724284679,5,TMD3725_Light Ambient Light Sensor Non-wakeup,4.0,3
1620724286549,5,TMD3725_Light Ambient Light Sensor Non-wakeup,8.0,3
1620724286884,-1,DETECTED_ACTIVITY,3.0,
1620724288887,5,TMD3725_Light Ambient Light Sensor Non-wakeup,7.0,3
1620724290582,5,TMD3725_Light Ambient Light Sensor Non-wakeup,5.0,3
1620724291984,5,TMD3725_Light Ambient Light Sensor Non-wakeup,7.0,3
1620724294673,5,TMD3725_Light Ambient Light Sensor Non-wakeup,8.0,3
1620724295842,5,TMD3725_Light Ambient Light Sensor Non-wakeup,9.0,3
1620724297186,5,TMD3725_Light Ambient Light Sensor Non-wakeup,8.0,3
1620724298296,5,TMD3725_Light Ambient Light Sensor Non-wakeup,7.0,3
1620724298381,-1,GPS_FIX,1.0,
1620724299464,5,TMD3725_Light Ambient Light Sensor Non-wakeup,7.0,3
1620724300115,8,TMD3725_Proximity Proximity Sensor Wakeup,5.0,3
1620724300588,-1,WIFI_ACCESS_POINTS,9.0,
1620724300600,-1,BLUETOOTH_DEVICES,2.0,
1620724300691,5,TMD3725_Light Ambient Light Sensor Non-wakeup,15.0,3
1620724315068,5,TMD3725_Light Ambient Light Sensor Non-wakeup,18.0,3
1620724316119,5,TMD3725_Light Ambient Light Sensor Non-wakeup,7.0,3
1620724316514,-1,DETECTED_ACTIVITY,3.0,
1620724319217,5,TMD3725_Light Ambient Light Sensor Non-wakeup,8.0,3
1620724321320,5,TMD3725_Light Ambient Light Sensor Non-wakeup,9.0,3
1620724322372,5,TMD3725_Light Ambient Light Sensor Non-wakeup,8.0,3
1620724324651,5,TMD3725_Light Ambient Light Sensor Non-wakeup,8.0,3
1620724325937,5,TMD3725_Light Ambient Light Sensor Non-wakeup,11.0,3
1620724327047,5,TMD3725_Light Ambient Light Sensor Non-wakeup,9.0,3
1620724328100,5,TMD3725_Light Ambient Light Sensor Non-wakeup,8.0,3
1620724333592,5,TMD3725_Light Ambient Light Sensor Non-wakeup,7.0,3
1620724335366,-1,GPS_SATELLITES,17.0,
1620724337332,5,TMD3725_Light Ambient Light Sensor Non-wakeup,7.0,3
1620724338676,5,TMD3725_Light Ambient Light Sensor Non-wakeup,8.0,3
1620724342358,5,TMD3725_Light Ambient Light Sensor Non-wakeup,8.0,3
1620724344812,5,TMD3725_Light Ambient Light Sensor Non-wakeup,5.0,3
1620724346409,-1,GPS_FIX,1.0,
1620724346565,5,TMD3725_Light Ambient Light Sensor Non-wakeup,8.0,3
1620724350538,5,TMD3725_Light Ambient Light Sensor Non-wakeup,8.0,3
1620724352643,5,TMD3725_Light Ambient Light Sensor Non-wakeup,5.0,3
1620724353986,5,TMD3725_Light Ambient Light Sensor Non-wakeup,7.0,3
1620724357551,5,TMD3725_Light Ambient Light Sensor Non-wakeup,8.0,3
1620724357589,-1,DETECTED_ACTIVITY,3.0,
1620724359948,5,TMD3725_Light Ambient Light Sensor Non-wakeup,7.0,3
1620724360628,-1,WIFI_ACCESS_POINTS,11.0,
1620724362110,5,TMD3725_Light Ambient Light Sensor Non-wakeup,4.0,3
1620724362363,-1,GPS_SATELLITES,35.0,
1620724366434,5,TMD3725_Light Ambient Light Sensor Non-wakeup,8.0,3
1620724371226,5,TMD3725_Light Ambient Light Sensor Non-wakeup,9.0,3
1620724372337,5,TMD3725_Light Ambient Light Sensor Non-wakeup,7.0,3
1620724375726,5,TMD3725_Light Ambient Light Sensor Non-wakeup,5.0,3
1620724378384,-1,GPS_FIX,1.0,
1620724382388,5,TMD3725_Light Ambient Light Sensor Non-wakeup,7.0,3
1620724386596,5,TMD3725_Light Ambient Light Sensor Non-wakeup,8.0,3
1620724391915,5,TMD3725_Light Ambient Light Sensor Non-wakeup,4.0,3
1620724399164,-1,DETECTED_ACTIVITY,3.0,
1620724399921,5,TMD3725_Light Ambient Light Sensor Non-wakeup,7.0,3
1620724402200,5,TMD3725_Light Ambient Light Sensor Non-wakeup,8.0,3
1620724403953,5,TMD3725_Light Ambient Light Sensor Non-wakeup,7.0,3
1620724405180,5,TMD3725_Light Ambient Light Sensor Non-wakeup,5.0,3
1620724407108,5,TMD3725_Light Ambient Light Sensor Non-wakeup,7.0,3
1620724408336,5,TMD3725_Light Ambient Light Sensor Non-wakeup,8.0,3
1620724409680,5,TMD3725_Light Ambient Light Sensor Non-wakeup,4.0,3
1620724410859,5,TMD3725_Light Ambient Light Sensor Non-wakeup,4.0,3
1620724413021,5,TMD3725_Light Ambient Light Sensor Non-wakeup,5.0,3
1620724414541,5,TMD3725_Light Ambient Light Sensor Non-wakeup,5.0,3
1620724414899,8,TMD3725_Proximity Proximity Sensor Wakeup,5.0,3
1620724415592,5,TMD3725_Light Ambient Light Sensor Non-wakeup,15.0,3
1620724418751,-1,DETECTED_ACTIVITY,4.0,
1620724420685,-1,WIFI_ACCESS_POINTS,13.0,
1620724420688,-1,BLUETOOTH_DEVICES,3.0,
1620724438442,5,TMD3725_Light Ambient Light Sensor Non-wakeup,18.0,3
