timestamp,sensor_type,sensor_name,value,accuracy
1620902632954,-1,INDOOR,0.0,
1620902633086,-1,MONITORING,1.0,
1620902632883,5,light-ltr578,17283.0,3
1620902378590,8,proximity-ltr578,5.0,3
1620902633955,5,light-ltr578,25299.0,3
1620902635027,5,light-ltr578,27310.0,3
1620902635263,-1,GPS_SATELLITES,15.0,
1620902635266,-1,GPS_FIX_SATELLITES,0.0,
1620902635295,-1,GPS_SATELLITES,20.0,
1620902635298,-1,GPS_FIX_SATELLITES,5.0,
1620902635352,-1,GPS_FIX,1.0,
1620902636099,5,light-ltr578,27666.0,3
1620902637171,5,light-ltr578,25263.0,3
1620902638243,5,light-ltr578,25689.0,3
1620902638464,-1,DETECTED_ACTIVITY,2.0,
1620902639315,5,light-ltr578,32591.0,3
1620902640387,5,light-ltr578,28734.0,3
1620902641459,5,light-ltr578,32070.0,3
1620902642531,5,light-ltr578,31650.0,3
1620902643603,5,light-ltr578,16573.0,3
1620902644318,8,proximity-ltr578,0.0,3
1620902644675,5,light-ltr578,569.0,3
1620902645748,5,light-ltr578,0.0,3
1620902646820,5,light-ltr578,0.0,3
1620902647891,5,light-ltr578,0.0,3
1620902648963,5,light-ltr578,0.0,3
1620902650035,5,light-ltr578,0.0,3
1620902651107,5,light-ltr578,0.0,3
1620902652179,5,light-ltr578,0.0,3
1620902653252,5,light-ltr578,0.0,3
1620902654323,5,light-ltr578,0.0,3
1620902655396,5,light-ltr578,0.0,3
1620902656468,5,light-ltr578,0.0,3
1620902657540,5,light-ltr578,0.0,3
1620902658612,5,light-ltr578,0.0,3
1620902659684,5,light-ltr578,0.0,3
1620902660756,5,light-ltr578,0.0,3
1620902661828,5,light-ltr578,0.0,3
1620902662900,5,light-ltr578,0.0,3
1620902663972,5,light-ltr578,0.0,3
1620902665044,5,light-ltr578,0.0,3
1620902666116,5,light-ltr578,0.0,3
1620902667188,5,light-ltr578,0.0,3
1620902668260,5,light-ltr578,0.0,3
1620902669123,-1,GPS_SATELLITES,13.0,
1620902669126,-1,GPS_FIX_SATELLITES,0.0,
1620902669332,5,light-ltr578,0.0,3
1620902670122,-1,GPS_FIX_SATELLITES,4.0,
1620902670404,5,light-ltr578,0.0,3
1620902670550,-1,GPS_FIX_SATELLITES,6.0,
1620902670568,-1,GPS_FIX,1.0,
1620902671476,5,light-ltr578,0.0,3
