timestamp,sensor_type,sensor_name,value,accuracy
1620829009842,-1,INDOOR,1.0,
1620829009991,-1,MONITORING,1.0,
1620829010020,5,TMD3725 Light,21.0,3
1620829010132,8,TMD3725 Proximity,8.0,3
1620829010386,-1,DETECTED_ACTIVITY,3.0,
1620829011021,5,TMD3725 Light,20.0,3
1620829011215,-1,GPS_SATELLITES,0.0,
1620829011220,-1,GPS_FIX_SATELLITES,0.0,
1620829012030,5,TMD3725 Light,21.0,3
1620829013040,5,TMD3725 Light,21.0,3
1620829014040,5,TMD3725 Light,20.0,3
1620829014209,-1,GPS_SATELLITES,1.0,
1620829015040,5,TMD3725 Light,20.0,3
1620829016040,5,TMD3725 Light,20.0,3
1620829017050,5,TMD3725 Light,20.0,3
1620829017207,-1,GPS_SATELLITES,2.0,
1620829018050,5,TMD3725 Light,20.0,3
1620829019060,5,TMD3725 Light,20.0,3
1620829019205,-1,GPS_SATELLITES,1.0,
1620829020069,5,TMD3725 Light,20.0,3
1620829020214,-1,GPS_SATELLITES,3.0,
1620829021070,5,TMD3725 Light,20.0,3
1620829022080,5,TMD3725 Light,20.0,3
1620829023090,5,TMD3725 Light,20.0,3
1620829023207,-1,GPS_SATELLITES,4.0,
1620829024100,5,TMD3725 Light,20.0,3
1620829024215,-1,GPS_SATELLITES,6.0,
1620829025100,5,TMD3725 Light,20.0,3
1620829025153,-1,GPS_SATELLITES,11.0,
1620829026101,5,TMD3725 Light,20.0,3
1620829026154,-1,GPS_SATELLITES,13.0,
1620829027111,5,TMD3725 Light,21.0,3
1620829027119,-1,GPS_SATELLITES,12.0,
1620829028110,-1,GPS_SATELLITES,11.0,
1620829028129,5,TMD3725 Light,20.0,3
1620829029130,5,TMD3725 Light,20.0,3
1620829030111,-1,GPS_SATELLITES,9.0,
1620829030132,5,TMD3725 Light,20.0,3
1620829031107,-1,GPS_SATELLITES,8.0,
1620829031141,5,TMD3725 Light,20.0,3
1620829032101,-1,GPS_SATELLITES,7.0,
1620829032150,5,TMD3725 Light,19.0,3
1620829033098,-1,GPS_SATELLITES,6.0,
1620829033150,5,TMD3725 Light,20.0,3
1620829034105,-1,GPS_SATELLITES,3.0,
1620829034159,5,TMD3725 Light,20.0,3
1620829035105,-1,GPS_SATELLITES,4.0,
1620829035160,5,TMD3725 Light,20.0,3
1620829036104,-1,GPS_SATELLITES,5.0,
1620829036160,5,TMD3725 Light,20.0,3
1620829037160,5,TMD3725 Light,20.0,3
1620829038104,-1,GPS_SATELLITES,4.0,
1620829038160,5,TMD3725 Light,20.0,3
1620829039108,-1,GPS_SATELLITES,8.0,
1620829039170,5,TMD3725 Light,20.0,3
1620829040104,-1,GPS_SATELLITES,7.0,
1620829040180,5,TMD3725 Light,21.0,3
1620829041100,-1,GPS_SATELLITES,8.0,
1620829041180,5,TMD3725 Light,21.0,3
1620829042097,-1,GPS_SATELLITES,9.0,
1620829042190,5,TMD3725 Light,21.0,3
1620829043103,-1,GPS_SATELLITES,7.0,
1620829043200,5,TMD3725 Light,21.0,3
1620829044109,-1,GPS_SATELLITES,11.0,
1620829044200,5,TMD3725 Light,21.0,3
