timestamp,sensor_type,sensor_name,value,accuracy
1621320746590,-1,INDOOR,0.0,
1621320746636,-1,MONITORING,1.0,
1621320745422,5,TMD3725_Light Ambient Light Sensor Non-wakeup,317.0,3
1621320711246,8,TMD3725_Proximity Proximity Sensor Wakeup,5.0,3
1621320746708,5,TMD3725_Light Ambient Light Sensor Non-wakeup,346.0,3
1621320747000,5,TMD3725_Light Ambient Light Sensor Non-wakeup,382.0,3
1621320747409,5,TMD3725_Light Ambient Light Sensor Non-wakeup,362.0,3
1621320747702,5,TMD3725_Light Ambient Light Sensor Non-wakeup,387.0,3
1621320748052,-1,GPS_SATELLITES,41.0,
1621320748054,-1,GPS_FIX_SATELLITES,0.0,
1621320748812,5,TMD3725_Light Ambient Light Sensor Non-wakeup,349.0,3
1621320749045,5,TMD3725_Light Ambient Light Sensor Non-wakeup,380.0,3
1621320752494,5,TMD3725_Light Ambient Light Sensor Non-wakeup,356.0,3
1621320752961,5,TMD3725_Light Ambient Light Sensor Non-wakeup,327.0,3
1621320753604,5,TMD3725_Light Ambient Light Sensor Non-wakeup,360.0,3
1621320753779,5,TMD3725_Light Ambient Light Sensor Non-wakeup,376.0,3
1621320753954,5,TMD3725_Light Ambient Light Sensor Non-wakeup,304.0,3
1621320754013,5,TMD3725_Light Ambient Light Sensor Non-wakeup,148.0,3
1621320754071,5,TMD3725_Light Ambient Light Sensor Non-wakeup,54.0,3
1621320754246,5,TMD3725_Light Ambient Light Sensor Non-wakeup,77.0,3
1621320754304,5,TMD3725_Light Ambient Light Sensor Non-wakeup,207.0,3
1621320754363,5,TMD3725_Light Ambient Light Sensor Non-wakeup,356.0,3
1621320754421,5,TMD3725_Light Ambient Light Sensor Non-wakeup,397.0,3
1621320755123,5,TMD3725_Light Ambient Light Sensor Non-wakeup,346.0,3
1621320755415,5,TMD3725_Light Ambient Light Sensor Non-wakeup,287.0,3
1621320755473,5,TMD3725_Light Ambient Light Sensor Non-wakeup,81.0,3
1621320755532,5,TMD3725_Light Ambient Light Sensor Non-wakeup,60.0,3
1621320755591,5,TMD3725_Light Ambient Light Sensor Non-wakeup,53.0,3
1621320755707,5,TMD3725_Light Ambient Light Sensor Non-wakeup,57.0,3
1621320755825,5,TMD3725_Light Ambient Light Sensor Non-wakeup,78.0,3
1621320755883,5,TMD3725_Light Ambient Light Sensor Non-wakeup,77.0,3
