timestamp,sensor_type,sensor_name,value,accuracy
1621450587546,-1,INDOOR,1.0,
1621450587605,-1,MONITORING,1.0,
1621450587316,5,TMD3725_Light Ambient Light Sensor Non-wakeup,63.0,3
1621449973854,8,TMD3725_Proximity Proximity Sensor Wakeup,5.0,3
1621450587690,-1,DETECTED_ACTIVITY,3.0,
1621450588017,5,TMD3725_Light Ambient Light Sensor Non-wakeup,70.0,3
1621450588133,5,TMD3725_Light Ambient Light Sensor Non-wakeup,76.0,3
1621450588600,5,TMD3725_Light Ambient Light Sensor Non-wakeup,69.0,3
1621450588885,-1,GPS_SATELLITES,23.0,
1621450588886,-1,GPS_FIX_SATELLITES,0.0,
1621450590120,5,TMD3725_Light Ambient Light Sensor Non-wakeup,76.0,3
1621450590646,5,TMD3725_Light Ambient Light Sensor Non-wakeup,67.0,3
1621450590939,5,TMD3725_Light Ambient Light Sensor Non-wakeup,62.0,3
1621450590997,5,TMD3725_Light Ambient Light Sensor Non-wakeup,57.0,3
1621450591055,5,TMD3725_Light Ambient Light Sensor Non-wakeup,47.0,3
1621450591289,5,TMD3725_Light Ambient Light Sensor Non-wakeup,52.0,3
1621450591347,5,TMD3725_Light Ambient Light Sensor Non-wakeup,56.0,3
1621450591407,5,TMD3725_Light Ambient Light Sensor Non-wakeup,69.0,3
1621450591464,5,TMD3725_Light Ambient Light Sensor Non-wakeup,74.0,3
1621450591883,-1,GPS_SATELLITES,39.0,
1621450594737,5,TMD3725_Light Ambient Light Sensor Non-wakeup,70.0,3
1621450594971,5,TMD3725_Light Ambient Light Sensor Non-wakeup,64.0,3
1621450596257,5,TMD3725_Light Ambient Light Sensor Non-wakeup,71.0,3
1621450597075,5,TMD3725_Light Ambient Light Sensor Non-wakeup,64.0,3
1621450597426,5,TMD3725_Light Ambient Light Sensor Non-wakeup,59.0,3
1621450597492,8,TMD3725_Proximity Proximity Sensor Wakeup,5.0,3
1621450597542,5,TMD3725_Light Ambient Light Sensor Non-wakeup,49.0,3
1621450597601,5,TMD3725_Light Ambient Light Sensor Non-wakeup,40.0,3
1621450597659,5,TMD3725_Light Ambient Light Sensor Non-wakeup,36.0,3
1621450597717,5,TMD3725_Light Ambient Light Sensor Non-wakeup,42.0,3
1621450597834,5,TMD3725_Light Ambient Light Sensor Non-wakeup,45.0,3
1621450597893,5,TMD3725_Light Ambient Light Sensor Non-wakeup,56.0,3
1621450597959,-1,GPS_FIX,1.0,
1621450597952,5,TMD3725_Light Ambient Light Sensor Non-wakeup,49.0,3
1621450598010,5,TMD3725_Light Ambient Light Sensor Non-wakeup,39.0,3
1621450598126,5,TMD3725_Light Ambient Light Sensor Non-wakeup,49.0,3
1621450598186,5,TMD3725_Light Ambient Light Sensor Non-wakeup,35.0,3
1621450598360,5,TMD3725_Light Ambient Light Sensor Non-wakeup,5.0,3
1621450598419,5,TMD3725_Light Ambient Light Sensor Non-wakeup,1.0,3
1621450598478,5,TMD3725_Light Ambient Light Sensor Non-wakeup,22.0,3
1621450598548,5,TMD3725_Light Ambient Light Sensor Non-wakeup,38.0,3
