timestamp,sensor_type,sensor_name,value,accuracy
1620830434859,-1,INDOOR,1.0,
1620830434882,-1,MONITORING,1.0,
1620830429558,5,TMD3725_Light Ambient Light Sensor Non-wakeup,11.0,3
1620830170486,8,TMD3725_Proximity Proximity Sensor Wakeup,5.0,3
1620830436044,5,TMD3725_Light Ambient Light Sensor Non-wakeup,9.0,3
1620830436132,-1,GPS_SATELLITES,20.0,
1620830436135,-1,GPS_FIX_SATELLITES,0.0,
1620830437271,5,TMD3725_Light Ambient Light Sensor Non-wakeup,12.0,3
1620830438615,5,TMD3725_Light Ambient Light Sensor Non-wakeup,12.0,3
1620830442004,5,TMD3725_Light Ambient Light Sensor Non-wakeup,11.0,3
1620830451295,5,TMD3725_Light Ambient Light Sensor Non-wakeup,9.0,3
1620830453399,5,TMD3725_Light Ambient Light Sensor Non-wakeup,11.0,3
1620830454742,5,TMD3725_Light Ambient Light Sensor Non-wakeup,9.0,3
1620830456379,5,TMD3725_Light Ambient Light Sensor Non-wakeup,8.0,3
1620830457548,5,TMD3725_Light Ambient Light Sensor Non-wakeup,9.0,3
1620830459125,5,TMD3725_Light Ambient Light Sensor Non-wakeup,12.0,3
1620830459425,8,TMD3725_Proximity Proximity Sensor Wakeup,5.0,3
1620830460245,-1,DETECTED_ACTIVITY,3.0,
1620830460352,5,TMD3725_Light Ambient Light Sensor Non-wakeup,2.0,3
1620830460481,-1,DETECTED_ACTIVITY,3.0,
1620830461754,5,TMD3725_Light Ambient Light Sensor Non-wakeup,11.0,3
1620830462127,-1,GPS_SATELLITES,43.0,
1620830462806,5,TMD3725_Light Ambient Light Sensor Non-wakeup,9.0,3
1620830463858,5,TMD3725_Light Ambient Light Sensor Non-wakeup,12.0,3
1620830464352,-1,INDOOR,0.0,
1620830464352,-1,INDOOR,1.0,
1620830464909,5,TMD3725_Light Ambient Light Sensor Non-wakeup,9.0,3
1620830466604,5,TMD3725_Light Ambient Light Sensor Non-wakeup,11.0,3
1620830467714,5,TMD3725_Light Ambient Light Sensor Non-wakeup,5.0,3
1620830468072,8,TMD3725_Proximity Proximity Sensor Wakeup,5.0,3
1620830468766,5,TMD3725_Light Ambient Light Sensor Non-wakeup,4.0,3
1620830470227,5,TMD3725_Light Ambient Light Sensor Non-wakeup,5.0,3
1620830471196,-1,GPS_SATELLITES,42.0,
1620830471980,5,TMD3725_Light Ambient Light Sensor Non-wakeup,7.0,3
1620830472037,-1,DETECTED_ACTIVITY,4.0,
1620830472129,-1,GPS_SATELLITES,43.0,
1620830473382,5,TMD3725_Light Ambient Light Sensor Non-wakeup,5.0,3
1620830476012,5,TMD3725_Light Ambient Light Sensor Non-wakeup,5.0,3
1620830486135,-1,GPS_SATELLITES,42.0,
1620830487142,-1,GPS_SATELLITES,43.0,
1620830493161,-1,GPS_FIX,1.0,
1620830494948,-1,WIFI_ACCESS_POINTS,3.0,
1620830494950,-1,BLUETOOTH_DEVICES,0.0,
1620830502206,-1,DETECTED_ACTIVITY,3.0,
1620830523137,-1,GPS_SATELLITES,37.0,
1620830532421,-1,DETECTED_ACTIVITY,3.0,
1620830541197,-1,GPS_SATELLITES,35.0,
1620830542133,-1,GPS_SATELLITES,36.0,
1620830543139,-1,GPS_SATELLITES,33.0,
1620830544134,-1,GPS_SATELLITES,32.0,
1620830547133,-1,GPS_SATELLITES,31.0,
1620830548139,-1,GPS_SATELLITES,43.0,
1620830555060,-1,WIFI_ACCESS_POINTS,4.0,
1620830555160,-1,GPS_FIX,1.0,
1620830556009,5,TMD3725_Light Ambient Light Sensor Non-wakeup,4.0,3
1620830560042,5,TMD3725_Light Ambient Light Sensor Non-wakeup,5.0,3
1620830561971,5,TMD3725_Light Ambient Light Sensor Non-wakeup,7.0,3
1620830562650,-1,DETECTED_ACTIVITY,3.0,
1620830563080,5,TMD3725_Light Ambient Light Sensor Non-wakeup,7.0,3
1620830566821,5,TMD3725_Light Ambient Light Sensor Non-wakeup,5.0,3
1620830592861,-1,DETECTED_ACTIVITY,3.0,
1620830597092,5,TMD3725_Light Ambient Light Sensor Non-wakeup,7.0,3
1620830603228,5,TMD3725_Light Ambient Light Sensor Non-wakeup,5.0,3
1620830606735,5,TMD3725_Light Ambient Light Sensor Non-wakeup,5.0,3
1620830607963,5,TMD3725_Light Ambient Light Sensor Non-wakeup,5.0,3
1620830609657,5,TMD3725_Light Ambient Light Sensor Non-wakeup,5.0,3
1620830617371,5,TMD3725_Light Ambient Light Sensor Non-wakeup,5.0,3
1620830620412,-1,DETECTED_ACTIVITY,3.0,
1620830628591,5,TMD3725_Light Ambient Light Sensor Non-wakeup,5.0,3
1620830630111,5,TMD3725_Light Ambient Light Sensor Non-wakeup,7.0,3
1620830631163,5,TMD3725_Light Ambient Light Sensor Non-wakeup,252.0,3
1620830632273,5,TMD3725_Light Ambient Light Sensor Non-wakeup,98.0,3
1620830633441,5,TMD3725_Light Ambient Light Sensor Non-wakeup,297.0,3
1620830634669,5,TMD3725_Light Ambient Light Sensor Non-wakeup,293.0,3
1620830635143,-1,GPS_FIX,1.0,
1620830635720,5,TMD3725_Light Ambient Light Sensor Non-wakeup,386.0,3
1620830636830,5,TMD3725_Light Ambient Light Sensor Non-wakeup,372.0,3
1620830637940,5,TMD3725_Light Ambient Light Sensor Non-wakeup,379.0,3
1620830638993,5,TMD3725_Light Ambient Light Sensor Non-wakeup,203.0,3
1620830640044,5,TMD3725_Light Ambient Light Sensor Non-wakeup,181.0,3
1620830641096,5,TMD3725_Light Ambient Light Sensor Non-wakeup,321.0,3
